Greek (raw TSV),Normalized variants (keys),English from TSV
Το όνομα,ονομα,Uploaded
Σοβαρά,σοβαρα,Uploaded
Έξω,εξω,Uploaded
Μέσα,μεσα,Uploaded
Ο κύριος,κυριος,Uploaded
Το τυρί,τυρι,Uploaded
Η ντομάτα,ντοματα,Uploaded
Η χωριάτικη σαλάτα,χωριατικη σαλατα,Uploaded
Το παστίτσιο,παστιτσιο,Uploaded
Το αρνάκι,αρνακι,Uploaded
Ο / η οδηγός,ο; οδηγος,Uploaded
Δεσποινίς,δεσποινις,Uploaded
Ο θείος,θειος,Uploaded
Η θεία,θεια,Uploaded
Όταν,οταν,Uploaded
Το φιλότιμο,φιλοτιμο,Uploaded
Το πάτωμα,πατωμα,Uploaded
Το ζώο,ζωο,Uploaded
Το ράφι,ραφι,Uploaded
Η πιατοθήκη,πιατοθηκη,Uploaded
Η κατσαρόλα,κατσαρολα,Uploaded
Το συρτάρι,συρταρι,Uploaded
Ο άνθρωπος,ανθρωπος,Uploaded
Το χταποδάκι,χταποδακι,Uploaded
Πεινάω σαν λύκος,πειναω σαν λυκος,Uploaded
Ο λύκος,λυκος,Uploaded
Ο διάλογος,διαλογος,Uploaded
Η διεύθυνση,διευθυνση,Uploaded
Στέλνω,στελνω,Uploaded
Το φιλί / τα φιλιά,φιλι; φιλια,Uploaded
Το πουλί,πουλι,Uploaded
Το κέντρο,κεντρο,Uploaded
Το τρόλεϊ,τρολει,Uploaded
Σίγουρα,σιγουρα,Uploaded
Αργεί το επόμενο;,αργει το επομενο,Uploaded
Κατάλαβα,καταλαβα,Uploaded
Το ταξιδιωτικό γραφείο,ταξιδιωτικο γραφειο,Uploaded
Περίπου,περιπου,Uploaded
αύριο,αυριο,Uploaded
μεθαύριο,μεθαυριο,Uploaded
(ε)χθές,εχθες; χθες,Uploaded
προχθές,προχθες,Uploaded
Κάνω / στρώνω το τραπέζι,κανω; στρωνω το τραπεζι,Uploaded
Ο σερβιτόρος / το γκαρσόν(ι),γκαρσον; γκαρσονι; σερβιτορος,Uploaded
Σερβίρω (το πιάτο),σερβιρω; σερβιρω το πιατο,Uploaded
Ο κατάλογος,καταλογος,Uploaded
Το λιμάνι,λιμανι,Uploaded
Η πόρτα,πορτα,Uploaded
Το Πάσχα,πασχα,Uploaded
Χριστός Ανέστη,χριστος ανεστη,Uploaded
Αληθώς Ανέστη,αληθως ανεστη,Uploaded
Ο μάγειρας,μαγειρας,Uploaded
Τα μαχαιροπίρουνα,μαχαιροπιρουνα,Uploaded
Τρέχω,τρεχω,Uploaded
Ίδιος / ίδια / ίδιο,ιδια; ιδιο; ιδιος,Uploaded
Φτάνει,φτανει,Uploaded
Η εποχή,εποχη,Uploaded
Ο χειμώνας,χειμωνας,Uploaded
Το καλοκαίρι,καλοκαιρι,Uploaded
Το φθινόπωρο,φθινοπωρο,Uploaded
Η άνοιξη,ανοιξη,Uploaded
Κάνει / έχει κρύο,εχει κρυο; κανει,Uploaded
Κάνει / έχει ζέστη,εχει ζεστη; κανει,Uploaded
Έχει δροσιά,εχει δροσια,Uploaded
Έχει αέρα,εχει αερα,Uploaded
Έχει ήλιο,εχει ηλιο,Uploaded
Έχει συννεφιά,εχει συννεφια,Uploaded
Έχει ωραίο καιρό,εχει ωραιο καιρο,Uploaded
Έχει άσχημο καιρό,εχει ασχημο καιρο,Uploaded
Βρέχει,βρεχει,Uploaded
Χιονίζει,χιονιζει,Uploaded
Φυσάει,φυσαει,Uploaded
Το κρύο,κρυο,Uploaded
Η ζέστη,ζεστη,Uploaded
Το σύννεφο,συννεφο,Uploaded
μιλάω / μιλώ μιλάς μιλάει μιλάμε μιλάτε μιλάνε,μιλαω; μιλω μιλας μιλαει μιλαμε μιλατε μιλανε,Uploaded
Το αγγούρι,αγγουρι,Uploaded
Το κρεμμύδι,κρεμμυδι,Uploaded
Η ταινία / το φιλμ / το έργο,εργο; ταινια; φιλμ,Uploaded
Το φύλλο,φυλλο,Uploaded
Πέφτω,πεφτω,Uploaded
Το ποδόσφαιρο,ποδοσφαιρο,Uploaded
Η λαϊκή,λαικη,Uploaded
Τα φρούτα,φρουτα,Uploaded
Τα λαχανικά,λαχανικα,Uploaded
Το μαρούλι,μαρουλι,Uploaded
Η ελιά,ελια,Uploaded
Η μελιτζάνα,μελιτζανα,Uploaded
Το κεφάλι,κεφαλι,Uploaded
"Δε μου λες. Δε μου λες, τι ώρα είναι;",δε μου λες. δε μου λες; τι ωρα ειναι,Uploaded
έχουμε και λέμε,εχουμε και λεμε,Uploaded
Συχνά,συχνα,Uploaded
Το μωρό,μωρο,Uploaded
Απαντάω,απανταω,Uploaded
Το φανάρι,φαναρι,Uploaded
μου σου του / της / του μας σας τους / τους / τους,μου σου του; της; του μας σας τους; τους,Uploaded
Το φεγγάρι,φεγγαρι,Uploaded
Η ρετσίνα,ρετσινα,Uploaded
Όλος / όλη / όλο (όλη την εβδομάδα),ολη; ολο; ολο ολη την εβδομαδα; ολος,Uploaded
κάνω ηλιοθεραπεία,κανω ηλιοθεραπεια,Uploaded
Το τραγούδι,τραγουδι,Uploaded
Κάνω μπάνιο,κανω μπανιο,Uploaded
Κάπου-κάπου,καπου-καπου,Uploaded
Τον Ιανουάριο,τον ιανουαριο,Uploaded
Το(ν) Φεβρουάριο,τον φεβρουαριο; φεβρουαριο,Uploaded
Το(ν) Μάρτιο,μαρτιο; τον μαρτιο,Uploaded
Τον Απρίλιο,τον απριλιο,Uploaded
Το(ν) Μάιο,μαιο; τον μαιο,Uploaded
Τον Ιούνιο,τον ιουνιο,Uploaded
