Greek (raw from TSV),Greek (normalized key),English (from TSV)
μιλάω / μιλώ μιλάς μιλάει μιλάμε μιλάτε μιλάνε,μιλαω / μιλω μιλας μιλαει μιλαμε μιλατε μιλανε,Uploaded
μπορώ μπορείς μπορεί μπορούμε μπορείτε μπορούν,μπορω μπορεις μπορει μπορουμε μπορειτε μπορουν,Uploaded
Δε συμφωνώ,δε συμφωνω,Uploaded
Πότε έχεις τα γενέθλιά σου;,ποτε εχεις τα γενεθλια σου,Uploaded
Έχω τα γενέθλιά μου το χειμώνα τον Ιανουάριο.,εχω τα γενεθλια μου το χειμωνα τον ιανουαριο,Uploaded
τα ψέματα (ex: λέω ψέματα),ψεματα (ex: λεω ψεματα),Uploaded
Η ταινία / το φιλμ / το έργο,ταινια / το φιλμ / το εργο,Uploaded
Ο γάμος,γαμος,Uploaded
Άλλη μια φορά,αλλη μια φορα,Uploaded
Το πρόγραμμα,προγραμμα,Uploaded
Πετάω,πεταω,Uploaded
Η λαϊκή,λαικη,Uploaded
Κουνάω,κουναω,Uploaded
"Δε μου λες. Δε μου λες, τι ώρα είναι;","δε μου λες. δε μου λες, τι ωρα ειναι",Uploaded
Η ζωή,ζωη,Uploaded
Αμέ!,αμε,Uploaded
Δεν το πιστεύω!,δεν το πιστευω,Uploaded
Το γυμναστήριο,γυμναστηριο,Uploaded
Άρρωστος / άρρωστη / άρρωστο,αρρωστος / αρρωστη / αρρωστο,Uploaded
Μπροστά,μπροστα,Uploaded
Κανονίζω,κανονιζω,Uploaded
Πόσο από το καθένα;,ποσο απο το καθενα,Uploaded
Πάρε,παρε,Uploaded
Ωραία ιδέα,ωραια ιδεα,Uploaded
Εδώ και δύο χρόνια.,εδω και δυο χρονια,Uploaded
Κανονίζουμε τίποτα;,κανονιζουμε τιποτα,Uploaded
Τι θα ήθελες;,τι θα ηθελες,Uploaded
ήμουν ήσουν ήταν ήμασταν ήσασταν ήταν,ημουν ησουν ηταν ημασταν ησασταν ηταν,Uploaded
έκανα έκανες έκανε κάναμε κάνατε έκαναν / κάνανε,εκανα εκανες εκανε καναμε κανατε εκαναν / κανανε,Uploaded
είδα είδες είδε είδαμε είδατε είδαν,ειδα ειδες ειδε ειδαμε ειδατε ειδαν,Uploaded
έφαγα έφαγες έφαγε φάγαμε φάγατε έφαγαν / φάγανε,εφαγα εφαγες εφαγε φαγαμε φαγατε εφαγαν / φαγανε,Uploaded
πήγα πήγες πήγε πήγαμε πήγατε πήγαν,πηγα πηγες πηγε πηγαμε πηγατε πηγαν,Uploaded
γύρισα γύρισες γύρισε γυρίσαμε γυρίσατε γύρισαν / γυρίσανε,γυρισα γυρισες γυρισε γυρισαμε γυρισατε γυρισαν / γυρισανε,Uploaded
